0,38
1,39.11
2,40.22
3,41.33
4,42.44
5,43.55
6,44.66
7,45.77
8,46.88
9,47.99
10,49.1
11,50.21
12,51.32
13,52.43
14,53.54
15,54.65
16,55.76
17,56.87
18,57.98
19,59.09
20,60.2
21,61.31
22,62.42
23,63.53
24,64.64
25,65.75
26,66.86
27,67.97
28,69.08
29,70.19
30,71.3
31,72.41
32,73.52
33,74.63
34,75.74
35,76.85
36,77.96
37,79.07
38,80.18
39,81.29
40,82.4
41,83.51
42,84.62
43,85.73
44,86.84
45,87.95
46,89.06
47,90.17
48,91.28
49,92.39
50,93.5
51,94.61
52,95.72
53,96.83
54,97.94
55,99.05
56,100.16
57,101.27
58,102.38
59,103.49
60,104.6
61,105.71
62,106.82
63,107.93
64,109.04
65,110.15
66,111.26
67,112.37
68,113.48
69,114.59
70,115.7
71,116.81
72,117.92
73,119.03
74,120.14
75,121.25
76,122.36
77,123.47
78,124.58
79,125.69
80,126.8
81,127.91
82,129.02
83,130.13
84,131.24
85,132.35
86,133.46
87,134.57
88,135.68
89,136.79
90,137.9
91,139.01
92,140.12
93,141.23
94,142.34
95,143.45
96,144.56
97,145.67
98,146.78
99,147.89
