x,y
0,15.2
1,16.2
2,17.2
3,18.2
4,19.2
5,20.2
6,21.2
7,22.2
8,23.2
9,24.2
10,25.2
11,26.2
12,27.2
13,28.2
14,29.2
15,30.2
16,31.2
17,32.2
18,33.2
19,34.2
20,35.2
21,36.2
22,37.2
23,38.2
24,39.2
25,40.2
26,41.2
27,42.2
28,43.2
29,44.2
30,45.2
31,46.2
32,47.2
33,48.2
34,49.2
35,50.2
36,51.2
37,52.2
38,53.2
39,54.2
40,55.2
41,56.2
42,57.2
43,58.2
44,59.2
45,60.2
46,61.2
47,62.2
48,63.2
49,64.2
50,65.2
51,66.2
52,67.2
53,68.2
54,69.2
55,70.2
56,71.2
57,72.2
58,73.2
59,74.2
60,75.2
61,76.2
62,77.2
63,78.2
64,79.2
65,80.2
66,81.2
67,82.2
68,83.2
69,84.2
70,85.2
71,86.2
72,87.2
73,88.2
74,89.2
75,90.2
76,91.2
77,92.2
78,93.2
79,94.2
80,95.2
81,96.2
82,97.2
83,98.2
84,99.2
85,100.2
86,101.2
87,102.2
88,103.2
89,104.2
90,105.2
91,106.2
92,107.2
93,108.2
94,109.2
95,110.2
96,111.2
97,112.2
98,113.2
99,114.2
